case_id,docket_no,title,state,date,type,description,plaintiff_argument,defendant_argument,decision_outcome,decision_winner,environment,consumers,reproductive_rights,democratic_norms,free_press,public_health,separation_church_state,voting_access,public_education,free_speech,privacy,worker_rights
A22-1579_Minnesota_2026/04/15,A22-1579,State v. Contreras-Sanchez,Minnesota,2026/04/15,Criminal Law,"Whether geofence warrants, which allow law enforcement to obtain cell phone location data from tech companies, violate the Minnesota Constitution's protection against unreasonable searches, specifically regarding privacy expectations and the particularity requirement for warrants.","Contreras-Sanchez argued that geofence warrants are unconstitutional general warrants, or at least this specific warrant lacked probable cause, was not sufficiently particular in its geographic scope and timeframe, and granted law enforcement unchecked discretion.","The State argued that there is no reasonable expectation of privacy in location data stored by Google, thus no warrant is needed, or alternatively, the geofence warrant was supported by probable cause and was sufficiently particular.","The court reversed the court of appeals' decision, ruling that the geofence warrant used to obtain location data violated the Minnesota Constitution's particularity requirement, but also held that geofence warrants are not categorically unconstitutional and that probable cause existed for this warrant.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA
A23-1544_Minnesota_2025/12/24,A23-1544,Thigpen v. Best Home Care,Minnesota,2025/12/24,Criminal Law,Whether the penalty under Minnesota law for obtaining unemployment benefit overpayments through misrepresentation violates the Excessive Fines Clauses of the United States and Minnesota Constitutions.,"The plaintiff, Christopher Thigpen, argued that the 40 percent penalty, 1 percent monthly interest, and 10-year bar on future unemployment benefits for misrepresentation constitute an unconstitutionally excessive punishment under the Excessive Fines Clauses.","The defendant, Department of Employment and Economic Development (DEED), argued that the statutory penalties for unemployment benefit misrepresentation are not unconstitutionally excessive and do not violate the Excessive Fines Clauses.","The court affirmed the decision of the court of appeals, concluding that the punishment under Minnesota law for unemployment benefit misrepresentation overpayments is not grossly disproportional to the offense and therefore does not violate the Excessive Fines Clauses.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A24-0507_Minnesota_2025/06/25,A24-0507,"Jurgensen v. Dave Perkins Contracting, Inc.",Minnesota,2025/06/25,Economic and Labor Rights,"Whether the statutory cap on attorney fees in workers' compensation cases, and the denial of excess fees, is constitutional and whether a recent amendment to the cap applies retroactively.","Attorney Borken, representing the relator, argued that the 2024 amendment to the attorney fee cap should apply retroactively, that the WCCA erred by not automatically approving the unobjected-to excess fee, that the statutory fee cap violates the Contracts Clause of the Minnesota Constitution, and that the WCCA erred in denying excess fees under the Irwin factors.","The employer-respondents took no position on the excess fees, but the Minnesota Attorney General intervened to defend the constitutionality of the statutory cap, arguing against retroactivity, for the WCCA's decision, and for the constitutionality of the cap.","The court affirmed the decision of the Workers' Compensation Court of Appeals, ruling that the 2024 amendment to the attorney fee cap does not apply retroactively, the WCCA did not err in denying excess fees, and the statutory fee cap does not violate the Contracts Clause.",defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected
"A25-0066,-A25-0068_Minnesota_2025/03/05","A25-0066,-A25-0068",Simon v. Demuth,Minnesota,2025/03/05,Government Structure,"Whether a legislative quorum requires a majority of the total number of seats in each house, or a majority of the total current legislators (excluding vacant seats).","The plaintiff argued that a quorum requires a majority of the total number of possible seats in each house, as prescribed by law, not just the current number of seated legislators.","The defendant argued that a quorum requires a majority of the total number of current legislators, meaning vacant seats should not be counted.","The court held that the quorum clause in the Minnesota Constitution requires a majority of the total number of seats of which each house may consist to constitute a quorum, meaning 68 members for the House of Representatives.",plaintiff,NA,NA,NA,protected,NA,NA,NA,protected,NA,NA,NA,NA
A22-1840_Minnesota_2024/10/23,A22-1840,In re Benson,Minnesota,2024/10/23,Government Structure,"Whether a civilly committed person may waive their statutory right to counsel, with the plaintiff arguing they may and the defendant arguing they may not.","The plaintiff, Michael Benson, argued that the right to counsel established in Minnesota Statutes section 253D.20 is waivable, and he has a constitutional right to self-representation.","The defendant, Commissioner of Human Services, argued that the right to counsel in civil commitment cases is not waivable, and civilly committed people must always be represented by an attorney.","The court reversed the court of appeals' decision, concluding that the right to counsel in civil commitment cases is waivable, provided the waiver is knowing and intelligent, and remanded the case for further proceedings.",plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,protected,NA,NA
A24-1022_Minnesota_2024/10/16,A24-1022,MacDonald v. Simon,Minnesota,2024/10/16,Government Structure,"Whether a person whose law license is suspended is ""learned in the law"" as required by the Minnesota Constitution for judicial office, and thus eligible to appear on the ballot.","Michelle MacDonald argued that being ""learned in the law"" does not require an active law license and that the statutory requirement for a current license is unconstitutional.","The Secretary of State argued that a suspended law license means MacDonald is not ""learned in the law"" and is therefore ineligible for judicial office and the ballot.","The court denied Michelle MacDonald's petition, ruling that her suspended law license means she is not ""learned in the law"" and thus not constitutionally qualified to be a judge of the supreme court.",defendant,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
A23-1780_Minnesota_2024/07/24,A23-1780,Jacobs v. City of Columbia Heights,Minnesota,2024/07/24,Election 2024,"Whether a petition to recall a city council member lawfully triggers a special recall election under Minnesota Statutes section 410.20 (2022) if it fails to allege malfeasance or nonfeasance, the constitutional prerequisites for recalling an elected municipal official.","Jacobs argued that the recall petition failed to allege malfeasance or nonfeasance, the constitutional prerequisites for recalling an elected municipal official, and thus unlawfully triggered a special recall election.","The City argued that the grounds for recall stated in the petition met the legal definition of malfeasance, thereby lawfully triggering the special recall election.","The court reversed the district court's decision, concluding that the recall petition did not meet the legal definitions of malfeasance or nonfeasance, and cancelled the special recall election.",plaintiff,NA,NA,NA,protected,NA,NA,NA,NA,NA,NA,NA,NA
A23-0620_Minnesota_2024/05/30,A23-0620,Doe v. Minnesota,Minnesota,2024/05/30,Reproductive Rights,Whether the petition for further review filed by Mothers Offering Maternal Support should be granted.,Mothers Offering Maternal Support argued that their petition for further review should be granted.,"Dr. Jane Doe, et al., and Governor of Minnesota, et al., argued that the petition for further review should be denied.",The court denied the petition of Mothers Offering Maternal Support for further review.,defendant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87613_Minnesota_2024/05/13,87613,Schools Over Stadiums v. Thompson,Minnesota,2024/05/13,Voting Rights and Elections,"Whether the Stadium Referendum, which seeks to disapprove select portions of Senate Bill No. 1, is valid under the Nevada Constitution's full-text requirement and statutory requirements for description of effect.","The Stadium Referendum complies with the Nevada Constitution's full-text requirement and provides an adequate description of its effect, allowing voters to decide on state funding for the stadium project.",The Stadium Referendum is invalid because it violates the full-text requirement of the Nevada Constitution and contains a legally inadequate and misleading description of its effect.,"The Supreme Court affirmed the district court's judgment, declaring the Stadium Referendum invalid and enjoining its circulation and placement on the ballot.",defendant,NA,NA,NA,NA,NA,NA,NA,infringed,NA,NA,NA,NA
A21-0626_Minnesota_2024/05/10,A21-0626,Snell v. Walz,Minnesota,2024/05/10,Government Structure,Whether the Emergency Management Act authorizes the Governor to declare a peacetime emergency for a pandemic and whether the Act constitutes an unconstitutional delegation of legislative authority.,"The Emergency Management Act does not allow the Governor to declare a peacetime emergency in response to the COVID-19 pandemic, and the Act is unconstitutional under the nondelegation doctrine because it delegates unrestrained lawmaking authority to the Governor.","The Emergency Management Act authorizes the Governor to declare a peacetime emergency in response to a pandemic, and the Act provides for a constitutional delegation of legislative authority.","The court affirmed the decision of the court of appeals, concluding that Governor Walz was authorized to declare a peacetime emergency in response to the COVID-19 pandemic and that the Emergency Management Act is not an unconstitutional delegation of legislative authority.",defendant,NA,NA,NA,protected,NA,protected,NA,NA,NA,NA,NA,NA
